alpha,beta,alpha_c_grados,beta_c_grados,sin_beta,cos_alpha_c_sin_alpha_c,sin_beta_c,cos_alpha_cos_beta,tan_alpha_c,sin_alpha_c,cos_beta_c
59.35178615032339,1.3480430542656232,88.43318052333308,30.638818183661527,0.023525619153963482,0.023525619153963544,0.509624456002996,0.509624456002996,36.55909151588923,0.9996261171038772,0.8603969513216853
60.854572189533435,3.081994074262496,86.47227051021304,29.09922629661275,0.053765007500429854,0.053765007500429805,0.4863235812460476,0.4863235812460476,16.221016952771524,0.9981051358111296,0.8737787902690354
62.3319379661233,4.839659090038888,84.53905145175851,27.561011989412943,0.08436757735243988,0.08436757735243987,0.4626928937050774,0.4626928937050774,10.460120017496994,0.9954612933622676,0.886518632694667
63.786193045301,6.6194923545059,82.62958127971119,26.02589821398397,0.11527509497668138,0.11527509497668131,0.4387773650848641,0.4387773650848641,7.730821497874021,0.9917375261844418,0.8985958067391501
65.21967541391047,8.42002382782739,80.74017190724925,24.49554604868564,0.1464287522351328,0.14642875223513285,0.4146225045491914,0.4146225045491914,6.133598524898242,0.9869687794533374,0.9099935047687735
66.63475566360074,10.23985274135658,78.86736667712266,22.971567086697377,0.1777692660522255,0.17776926605222557,0.3902742817475907,0.3902742817475907,5.0817204645728395,0.9811828522285253,0.9206986396244985
68.03384460749021,12.077642221588489,77.00791867159636,21.455533584305275,0.2092369994628649,0.20923699946286498,0.3657790329697884,0.3657790329697884,4.3342087111039636,0.9744011452653589,0.9307017239909284
69.41940290484212,13.93211320776154,75.15877180385333,19.94898804348601,0.24077207306327084,0.24077207306327086,0.34118337454447645,0.34118337454447645,3.773850607567798,0.9666393277867682,0.939996757938262
70.79395338295808,15.802038366263393,73.3170438880563,18.453451731551937,0.2723144789305979,0.27231447893059785,0.31653411415371363,0.31653411415371363,3.3367795622107543,0.9579079341635983,0.9485811270402357
72.16009614788703,17.68623586690677,71.4800117497546,16.97043233405386,0.3038041948195338,0.3038041948195338,0.2918781617580176,0.2918781617580176,2.9852236033234414,0.9482129023516752,0.9564555079504538
73.52052675919515,19.583562979215056,69.64509830574093,15.501430823149617,0.33518129838376676,0.3351812983837667,0.26726244032866603,0.26726244032866603,2.695410880692416,0.9375560650291862,0.9636237792777668
74.87805785190585,21.492909429733995,67.80986153681597,14.047947605708522,0.3663860812112876,0.36638608121128746,0.24273379655213562,0.24273379655213562,2.4516313095158684,0.9259356036488792,0.9700929357599644
76.2356446230549,23.413190310590476,65.97198540231405,12.611488096329081,0.3973591603926086,0.3973591603926086,0.2183389133038367,0.2183389133038367,2.2430844873073377,0.91334647580176,0.9758730034883123
77.59641538721104,25.343339205652534,64.1292718888316,11.193567176743782,0.4280415998030188,0.42804159980301887,0.19412421428983914,0.19412421428983914,2.0620992221942744,0.8997808195808042,0.9809769566235247
78.9637066829132,27.28229947064462,62.279635973608194,9.79571400254191,0.45837500984410984,0.4583750098441097,0.17013578548125982,0.17013578548125982,1.9030755689983831,0.885228355996238,0.9854206282084188
80.34110581583707,29.229016064622698,60.42110098728302,8.419475245694697,0.48830166687671805,0.4883016668767181,0.14641928086611936,0.14641928086611936,1.761828808921287,0.8696767802877552,0.989222621147863
81.73250083168125,31.182425791370576,58.55179616593097,7.06641821602335,0.5177646210075971,0.5177646210075972,0.12301983719300037,0.12301983719300037,1.635167927845418,0.8531121617106595,0.9924042118295385
83.14214017320649,33.14144644592825,56.66995560559092,5.738133270992441,0.5467078044867963,0.5467078044867963,0.09998198805985038,0.09998198805985038,1.5206162517597117,0.8355193533975971,0.9949892472100389
84.574704090978,35.10496439050058,54.77391869223046,4.436235588808128,0.5750761384340121,0.5750761384340121,0.07734957914441756,0.07734957914441756,1.416221282903131,0.816882418987377,0.997004033395142
86.03539053849403,37.0718201132358,52.86213195679068,3.1623662760835005,0.6028156376586894,0.6028156376586894,0.05516568476328056,0.05516568476328056,1.3204221810717216,0.7971850812038125,0.9984772141739632
87.53001901831345,39.04079120482048,50.93315229055206,1.9181927685499505,0.6298735134553278,0.6298735134553278,0.03347252585359484,0.03347252585359484,1.231955477948553,0.7764111966440886,0.9994396380037067
89.06515666519807,41.01057187527675,48.98565158898623,0.7054085660664725,0.6561982723292136,0.6561982723292136,0.01231139102144517,0.01231139102144517,1.1497867458043851,0.7545452616551338,0.9999242119536446
90.64827278327436,42.97974884859026,47.01842194627188,-0.47426823420368786,0.6817398210365611,0.6817398210365611,-0.00827744769843135,-0.00827744769843135,1.073060216100335,0.7315729423922203,0.9999657413429721
92.28792739640738,44.94677039164927,45.0303832580672,-1.6190964411278357,0.7064495513547289,0.7064495513547289,-0.028254802992632905,-0.028254802992632905,1.001061138589922,0.7074816519114419,0.999600753354982
93.99400490722034,46.90990945868764,43.020590487996294,-2.727314988323958,0.730280439730771,0.730280439730771,-0.047582652582774304,-0.047582652582774304,0.9331871873258379,0.6822611439210406,0.9988673040865773
95.77800277662739,48.86721676326428,40.988242391102794,-3.7971466912515215,0.7531871350119097,0.7531871350119097,-0.06622421017167454,-0.06622421017167454,0.8689265249734978,0.6559041419892803,0.99780476747064
97.65339022741159,50.81646162591452,38.93269071602692,-4.826803078213566,0.7751260447858096,0.7751260447858096,-0.08414399547650243,-0.08414399547650243,0.8078407575977293,0.6284069903126106,0.9964536055558484
99.6360547139462,52.755056517659284,36.853449781277156,-5.814490246415006,0.7960554183734986,0.7960554183734986,-0.10130790177628383,-0.10130790177628383,0.7495515506153535,0.5997703197672126,0.9948551196217904
101.74485773822153,54.6799599938862,34.750206151061676,-6.758415763423154,0.8159354263177673,0.8159354263177673,-0.11768326084589008,-0.11768326084589008,0.6937300138458687,0.5699997188904424,0.9930511820226983
104.00232495316767,56.58755088880244,32.62282809647254,-7.656796616753071,0.834728236215007,0.834728236215007,-0.13323890515230838,-0.13323890515230838,0.6400882029018192,0.5391063967064953,0.9910839490950372
106.43549673544203,58.47346410579158,30.47137463522339,-8.50786813706177,0.8523980835996616,0.8523980835996616,-0.14794522623776504,-0.14794522623776504,0.5883722568786466,0.5071078237924589,0.9889955561242206
109.07696262375015,60.33237614115144,28.29610289626552,-9.309894186039909,0.8689113447040349,0.8689113447040349,-0.1617742349807863,-0.1617742349807863,0.5383567896602233,0.4740283202657368,0.9868277949553211
111.96608318782428,62.157722136077325,26.097475570887486,-10.061177685081224,0.8842365933577931,0.8842365933577931,-0.17469960896027675,-0.17469960896027675,0.48984031242763776,0.439899602693363,0.9846217784657855
115.15036610496857,63.94132684726589,23.876165136971547,-10.7600725213211,0.8983446656575429,0.8983446656575429,-0.1866967465900156,-0.1866967465900156,0.4426414082812465,0.40476122498204026,0.9824175918685004
118.68686305005953,65.67292494726193,21.633056604591825,-11.404995821438877,0.9112087142607312,0.9112087142607312,-0.19774281293461637,-0.19774281293461637,0.396595549510925,0.3686609227592709,0.9802539364535627
122.6432658127373,67.3395511178592,19.36924751457212,-11.994440766968816,0.922804259507523,0.922804259507523,-0.20781678318996644,-0.20781678318996644,0.3515524100551187,0.3316548261627947,0.9781677691605742
127.09802014516738,68.92479474067716,17.08604497617198,-12.526989680055122,0.9331092360314165,0.9331092360314165,-0.21689948271454262,-0.21689948271454262,0.3073735772908806,0.29380752250259784,0.976193943024727
132.1381667573824,70.40795784565643,14.784959445711301,-13.001327137490955,0.9421040347732204,0.9421040347732204,-0.22497362353825198,-0.22497362353825198,0.2639305840356244,0.2551919510428084,0.9743648540008352
137.8527394130071,71.76325338021186,12.467695032319009,-13.416252845141253,0.9497715403176186,0.9497715403176186,-0.2320238372785608,-0.2320238372785608,0.2211031971451165,0.21588911648928633,0.9727101001503644
144.31868264623034,72.95936536961094,10.136136377416706,-13.770693965135388,0.9560971631027442,0.9560971631027442,-0.238036704033509,-0.238036704033509,0.17877791374811447,0.17598761611245595,0.971256159585546
151.57647322066663,73.95996646561628,7.7923311785432725,-14.06371673571164,0.9610688688048686,0.9610688688048686,-0.2430007794751341,-0.2430007794751341,0.13684660541970134,0.1355829634011223,0.970026093037954
